inventory_id,film_id,title
1,1,ACADEMY DINOSAUR
2,1,ACADEMY DINOSAUR
3,1,ACADEMY DINOSAUR
4,1,ACADEMY DINOSAUR
5,1,ACADEMY DINOSAUR
6,1,ACADEMY DINOSAUR
7,1,ACADEMY DINOSAUR
8,1,ACADEMY DINOSAUR
12,3,ADAPTATION HOLES
13,3,ADAPTATION HOLES
14,3,ADAPTATION HOLES
15,3,ADAPTATION HOLES
16,4,AFFAIR PREJUDICE
17,4,AFFAIR PREJUDICE
18,4,AFFAIR PREJUDICE
19,4,AFFAIR PREJUDICE
20,4,AFFAIR PREJUDICE
21,4,AFFAIR PREJUDICE
22,4,AFFAIR PREJUDICE
23,5,AFRICAN EGG
24,5,AFRICAN EGG
25,5,AFRICAN EGG
26,6,AGENT TRUMAN
27,6,AGENT TRUMAN
28,6,AGENT TRUMAN
29,6,AGENT TRUMAN
30,6,AGENT TRUMAN
31,6,AGENT TRUMAN
32,7,AIRPLANE SIERRA
33,7,AIRPLANE SIERRA
34,7,AIRPLANE SIERRA
35,7,AIRPLANE SIERRA
36,7,AIRPLANE SIERRA
37,8,AIRPORT POLLOCK
38,8,AIRPORT POLLOCK
39,8,AIRPORT POLLOCK
40,8,AIRPORT POLLOCK
41,9,ALABAMA DEVIL
42,9,ALABAMA DEVIL
43,9,ALABAMA DEVIL
44,9,ALABAMA DEVIL
45,9,ALABAMA DEVIL
46,10,ALADDIN CALENDAR
47,10,ALADDIN CALENDAR
48,10,ALADDIN CALENDAR
49,10,ALADDIN CALENDAR
50,10,ALADDIN CALENDAR
51,10,ALADDIN CALENDAR
52,10,ALADDIN CALENDAR
53,11,ALAMO VIDEOTAPE
54,11,ALAMO VIDEOTAPE
55,11,ALAMO VIDEOTAPE
56,11,ALAMO VIDEOTAPE
57,11,ALAMO VIDEOTAPE
58,11,ALAMO VIDEOTAPE
59,11,ALAMO VIDEOTAPE
60,12,ALASKA PHANTOM
61,12,ALASKA PHANTOM
62,12,ALASKA PHANTOM
63,12,ALASKA PHANTOM
64,12,ALASKA PHANTOM
65,12,ALASKA PHANTOM
66,12,ALASKA PHANTOM
67,13,ALI FOREVER
68,13,ALI FOREVER
69,13,ALI FOREVER
70,13,ALI FOREVER
71,15,ALIEN CENTER
72,15,ALIEN CENTER
73,15,ALIEN CENTER
74,15,ALIEN CENTER
75,15,ALIEN CENTER
76,15,ALIEN CENTER
77,16,ALLEY EVOLUTION
78,16,ALLEY EVOLUTION
79,16,ALLEY EVOLUTION
80,16,ALLEY EVOLUTION
81,17,ALONE TRIP
82,17,ALONE TRIP
83,17,ALONE TRIP
84,17,ALONE TRIP
85,17,ALONE TRIP
86,17,ALONE TRIP
87,18,ALTER VICTORY
88,18,ALTER VICTORY
89,18,ALTER VICTORY
90,18,ALTER VICTORY
91,18,ALTER VICTORY
92,18,ALTER VICTORY
93,19,AMADEUS HOLY
94,19,AMADEUS HOLY
95,19,AMADEUS HOLY
96,19,AMADEUS HOLY
97,19,AMADEUS HOLY
98,19,AMADEUS HOLY
99,20,AMELIE HELLFIGHTERS
100,20,AMELIE HELLFIGHTERS
101,20,AMELIE HELLFIGHTERS
102,21,AMERICAN CIRCUS
103,21,AMERICAN CIRCUS
104,21,AMERICAN CIRCUS
105,21,AMERICAN CIRCUS
106,21,AMERICAN CIRCUS
107,21,AMERICAN CIRCUS
108,22,AMISTAD MIDSUMMER
109,22,AMISTAD MIDSUMMER
110,22,AMISTAD MIDSUMMER
111,22,AMISTAD MIDSUMMER
112,22,AMISTAD MIDSUMMER
113,22,AMISTAD MIDSUMMER
114,22,AMISTAD MIDSUMMER
115,23,ANACONDA CONFESSIONS
116,23,ANACONDA CONFESSIONS
117,23,ANACONDA CONFESSIONS
118,23,ANACONDA CONFESSIONS
119,23,ANACONDA CONFESSIONS
120,24,ANALYZE HOOSIERS
121,24,ANALYZE HOOSIERS
122,24,ANALYZE HOOSIERS
123,24,ANALYZE HOOSIERS
124,25,ANGELS LIFE
125,25,ANGELS LIFE
126,25,ANGELS LIFE
127,25,ANGELS LIFE
128,25,ANGELS LIFE
129,25,ANGELS LIFE
130,26,ANNIE IDENTITY
131,26,ANNIE IDENTITY
132,26,ANNIE IDENTITY
133,26,ANNIE IDENTITY
134,26,ANNIE IDENTITY
135,27,ANONYMOUS HUMAN
136,27,ANONYMOUS HUMAN
137,27,ANONYMOUS HUMAN
138,27,ANONYMOUS HUMAN
139,28,ANTHEM LUKE
140,28,ANTHEM LUKE
141,28,ANTHEM LUKE
142,29,ANTITRUST TOMATOES
143,29,ANTITRUST TOMATOES
144,30,ANYTHING SAVANNAH
145,30,ANYTHING SAVANNAH
146,31,APACHE DIVINE
147,31,APACHE DIVINE
148,31,APACHE DIVINE
149,31,APACHE DIVINE
150,31,APACHE DIVINE
151,31,APACHE DIVINE
152,31,APACHE DIVINE
153,31,APACHE DIVINE
154,32,APOCALYPSE FLAMINGOS
155,32,APOCALYPSE FLAMINGOS
156,34,ARABIA DOGMA
157,34,ARABIA DOGMA
158,34,ARABIA DOGMA
159,34,ARABIA DOGMA
160,35,ARACHNOPHOBIA ROLLERCOASTER
161,35,ARACHNOPHOBIA ROLLERCOASTER
162,35,ARACHNOPHOBIA ROLLERCOASTER
163,35,ARACHNOPHOBIA ROLLERCOASTER
164,35,ARACHNOPHOBIA ROLLERCOASTER
165,35,ARACHNOPHOBIA ROLLERCOASTER
166,35,ARACHNOPHOBIA ROLLERCOASTER
167,37,ARIZONA BANG
168,37,ARIZONA BANG
169,37,ARIZONA BANG
170,37,ARIZONA BANG
171,37,ARIZONA BANG
172,37,ARIZONA BANG
173,37,ARIZONA BANG
174,39,ARMAGEDDON LOST
175,39,ARMAGEDDON LOST
176,39,ARMAGEDDON LOST
177,39,ARMAGEDDON LOST
178,39,ARMAGEDDON LOST
179,39,ARMAGEDDON LOST
180,39,ARMAGEDDON LOST
181,40,ARMY FLINTSTONES
182,40,ARMY FLINTSTONES
183,40,ARMY FLINTSTONES
184,40,ARMY FLINTSTONES
185,42,ARTIST COLDBLOODED
186,42,ARTIST COLDBLOODED
187,42,ARTIST COLDBLOODED
188,42,ARTIST COLDBLOODED
189,43,ATLANTIS CAUSE
190,43,ATLANTIS CAUSE
191,43,ATLANTIS CAUSE
192,43,ATLANTIS CAUSE
193,43,ATLANTIS CAUSE
194,43,ATLANTIS CAUSE
195,43,ATLANTIS CAUSE
196,44,ATTACKS HATE
197,44,ATTACKS HATE
198,44,ATTACKS HATE
199,44,ATTACKS HATE
200,44,ATTACKS HATE
201,45,ATTRACTION NEWTON
202,45,ATTRACTION NEWTON
203,45,ATTRACTION NEWTON
204,45,ATTRACTION NEWTON
205,45,ATTRACTION NEWTON
206,45,ATTRACTION NEWTON
207,46,AUTUMN CROW
208,46,AUTUMN CROW
209,46,AUTUMN CROW
210,47,BABY HALL
211,47,BABY HALL
212,48,BACKLASH UNDEFEATED
213,48,BACKLASH UNDEFEATED
214,48,BACKLASH UNDEFEATED
215,48,BACKLASH UNDEFEATED
216,49,BADMAN DAWN
217,49,BADMAN DAWN
218,49,BADMAN DAWN
219,49,BADMAN DAWN
220,49,BADMAN DAWN
221,49,BADMAN DAWN
222,50,BAKED CLEOPATRA
223,50,BAKED CLEOPATRA
224,50,BAKED CLEOPATRA
225,50,BAKED CLEOPATRA
226,50,BAKED CLEOPATRA
227,51,BALLOON HOMEWARD
228,51,BALLOON HOMEWARD
229,51,BALLOON HOMEWARD
230,51,BALLOON HOMEWARD
231,51,BALLOON HOMEWARD
232,51,BALLOON HOMEWARD
233,52,BALLROOM MOCKINGBIRD
234,52,BALLROOM MOCKINGBIRD
235,53,BANG KWAI
236,53,BANG KWAI
237,54,BANGER PINOCCHIO
238,54,BANGER PINOCCHIO
239,54,BANGER PINOCCHIO
240,54,BANGER PINOCCHIO
241,54,BANGER PINOCCHIO
242,55,BARBARELLA STREETCAR
243,55,BARBARELLA STREETCAR
244,55,BARBARELLA STREETCAR
245,55,BARBARELLA STREETCAR
246,55,BARBARELLA STREETCAR
247,55,BARBARELLA STREETCAR
248,56,BAREFOOT MANCHURIAN
249,56,BAREFOOT MANCHURIAN
250,56,BAREFOOT MANCHURIAN
251,56,BAREFOOT MANCHURIAN
252,56,BAREFOOT MANCHURIAN
253,57,BASIC EASY
254,57,BASIC EASY
255,57,BASIC EASY
256,57,BASIC EASY
257,57,BASIC EASY
258,57,BASIC EASY
259,57,BASIC EASY
260,58,BEACH HEARTBREAKERS
261,58,BEACH HEARTBREAKERS
262,58,BEACH HEARTBREAKERS
263,58,BEACH HEARTBREAKERS
264,59,BEAR GRACELAND
265,59,BEAR GRACELAND
266,59,BEAR GRACELAND
267,59,BEAR GRACELAND
268,59,BEAR GRACELAND
269,60,BEAST HUNCHBACK
270,60,BEAST HUNCHBACK
271,60,BEAST HUNCHBACK
272,61,BEAUTY GREASE
273,61,BEAUTY GREASE
274,61,BEAUTY GREASE
275,61,BEAUTY GREASE
276,61,BEAUTY GREASE
277,61,BEAUTY GREASE
278,62,BED HIGHBALL
279,62,BED HIGHBALL
280,63,BEDAZZLED MARRIED
281,63,BEDAZZLED MARRIED
282,63,BEDAZZLED MARRIED
283,63,BEDAZZLED MARRIED
284,64,BEETHOVEN EXORCIST
285,64,BEETHOVEN EXORCIST
286,64,BEETHOVEN EXORCIST
287,65,BEHAVIOR RUNAWAY
288,65,BEHAVIOR RUNAWAY
289,65,BEHAVIOR RUNAWAY
290,65,BEHAVIOR RUNAWAY
291,66,BENEATH RUSH
292,66,BENEATH RUSH
293,66,BENEATH RUSH
294,67,BERETS AGENT
295,67,BERETS AGENT
296,67,BERETS AGENT
297,67,BERETS AGENT
298,67,BERETS AGENT
299,67,BERETS AGENT
300,68,BETRAYED REAR
301,68,BETRAYED REAR
302,68,BETRAYED REAR
303,68,BETRAYED REAR
304,69,BEVERLY OUTLAW
305,69,BEVERLY OUTLAW
306,69,BEVERLY OUTLAW
307,69,BEVERLY OUTLAW
308,69,BEVERLY OUTLAW
309,69,BEVERLY OUTLAW
310,69,BEVERLY OUTLAW
311,69,BEVERLY OUTLAW
312,70,BIKINI BORROWERS
313,70,BIKINI BORROWERS
314,70,BIKINI BORROWERS
315,70,BIKINI BORROWERS
316,71,BILKO ANONYMOUS
317,71,BILKO ANONYMOUS
318,71,BILKO ANONYMOUS
319,71,BILKO ANONYMOUS
320,72,BILL OTHERS
321,72,BILL OTHERS
322,72,BILL OTHERS
323,72,BILL OTHERS
324,72,BILL OTHERS
325,72,BILL OTHERS
326,73,BINGO TALENTED
327,73,BINGO TALENTED
328,73,BINGO TALENTED
329,73,BINGO TALENTED
330,73,BINGO TALENTED
331,73,BINGO TALENTED
332,73,BINGO TALENTED
333,73,BINGO TALENTED
334,74,BIRCH ANTITRUST
335,74,BIRCH ANTITRUST
336,74,BIRCH ANTITRUST
337,74,BIRCH ANTITRUST
338,74,BIRCH ANTITRUST
339,75,BIRD INDEPENDENCE
340,75,BIRD INDEPENDENCE
341,75,BIRD INDEPENDENCE
342,76,BIRDCAGE CASPER
343,76,BIRDCAGE CASPER
344,76,BIRDCAGE CASPER
345,77,BIRDS PERDITION
346,77,BIRDS PERDITION
347,77,BIRDS PERDITION
348,77,BIRDS PERDITION
349,77,BIRDS PERDITION
350,77,BIRDS PERDITION
351,78,BLACKOUT PRIVATE
352,78,BLACKOUT PRIVATE
353,78,BLACKOUT PRIVATE
354,78,BLACKOUT PRIVATE
355,78,BLACKOUT PRIVATE
356,78,BLACKOUT PRIVATE
357,78,BLACKOUT PRIVATE
358,79,BLADE POLISH
359,79,BLADE POLISH
360,79,BLADE POLISH
361,79,BLADE POLISH
362,79,BLADE POLISH
363,79,BLADE POLISH
364,80,BLANKET BEVERLY
365,80,BLANKET BEVERLY
366,80,BLANKET BEVERLY
367,80,BLANKET BEVERLY
368,81,BLINDNESS GUN
369,81,BLINDNESS GUN
370,81,BLINDNESS GUN
371,81,BLINDNESS GUN
372,82,BLOOD ARGONAUTS
373,82,BLOOD ARGONAUTS
374,83,BLUES INSTINCT
375,83,BLUES INSTINCT
376,83,BLUES INSTINCT
377,83,BLUES INSTINCT
378,83,BLUES INSTINCT
379,84,BOILED DARES
380,84,BOILED DARES
381,84,BOILED DARES
382,84,BOILED DARES
383,85,BONNIE HOLOCAUST
384,85,BONNIE HOLOCAUST
385,85,BONNIE HOLOCAUST
386,85,BONNIE HOLOCAUST
387,86,BOOGIE AMELIE
388,86,BOOGIE AMELIE
389,86,BOOGIE AMELIE
390,86,BOOGIE AMELIE
391,86,BOOGIE AMELIE
392,86,BOOGIE AMELIE
393,86,BOOGIE AMELIE
394,86,BOOGIE AMELIE
395,88,BORN SPINAL
396,88,BORN SPINAL
397,88,BORN SPINAL
398,88,BORN SPINAL
399,89,BORROWERS BEDAZZLED
400,89,BORROWERS BEDAZZLED
401,89,BORROWERS BEDAZZLED
402,89,BORROWERS BEDAZZLED
403,89,BORROWERS BEDAZZLED
404,89,BORROWERS BEDAZZLED
405,90,BOULEVARD MOB
406,90,BOULEVARD MOB
407,90,BOULEVARD MOB
408,90,BOULEVARD MOB
409,90,BOULEVARD MOB
410,90,BOULEVARD MOB
411,91,BOUND CHEAPER
412,91,BOUND CHEAPER
413,91,BOUND CHEAPER
414,91,BOUND CHEAPER
415,91,BOUND CHEAPER
416,91,BOUND CHEAPER
417,91,BOUND CHEAPER
418,91,BOUND CHEAPER
419,92,BOWFINGER GABLES
420,92,BOWFINGER GABLES
421,92,BOWFINGER GABLES
422,92,BOWFINGER GABLES
423,93,BRANNIGAN SUNRISE
424,93,BRANNIGAN SUNRISE
425,93,BRANNIGAN SUNRISE
426,94,BRAVEHEART HUMAN
427,94,BRAVEHEART HUMAN
428,95,BREAKFAST GOLDFINGER
429,95,BREAKFAST GOLDFINGER
430,95,BREAKFAST GOLDFINGER
431,95,BREAKFAST GOLDFINGER
432,95,BREAKFAST GOLDFINGER
433,96,BREAKING HOME
434,96,BREAKING HOME
435,96,BREAKING HOME
436,97,BRIDE INTRIGUE
437,97,BRIDE INTRIGUE
438,97,BRIDE INTRIGUE
439,97,BRIDE INTRIGUE
440,97,BRIDE INTRIGUE
441,97,BRIDE INTRIGUE
442,98,BRIGHT ENCOUNTERS
443,98,BRIGHT ENCOUNTERS
444,98,BRIGHT ENCOUNTERS
445,99,BRINGING HYSTERICAL
446,99,BRINGING HYSTERICAL
447,99,BRINGING HYSTERICAL
448,99,BRINGING HYSTERICAL
449,99,BRINGING HYSTERICAL
450,99,BRINGING HYSTERICAL
451,100,BROOKLYN DESERT
452,100,BROOKLYN DESERT
453,100,BROOKLYN DESERT
454,100,BROOKLYN DESERT
455,100,BROOKLYN DESERT
456,100,BROOKLYN DESERT
457,101,BROTHERHOOD BLANKET
458,101,BROTHERHOOD BLANKET
459,101,BROTHERHOOD BLANKET
460,101,BROTHERHOOD BLANKET
461,101,BROTHERHOOD BLANKET
462,101,BROTHERHOOD BLANKET
463,102,BUBBLE GROSSE
464,102,BUBBLE GROSSE
465,103,BUCKET BROTHERHOOD
466,103,BUCKET BROTHERHOOD
467,103,BUCKET BROTHERHOOD
468,103,BUCKET BROTHERHOOD
