airline_id	airline_name	country	airline_iata	airline_icao	alias
18863	Псковавиа	Russia	null	PKV	Псков Авиа
18930	Maryland Air	United States	M1	M1F	Maryland
18944	Insel Air (7I/INC) (Priv)	Netherlands Antilles	7I	null	null
18946	VivaColombia	Colombia	5Z	VVC	null
18952	Flybe Finland Oy	Finland	null	FCM	null
18959	Bingo Airways	Poland	null	BGY	Bingo
19007	Bluebird Airways (BZ)	Greece	null	BBG	null
19016	Apache Air	United States	ZM	IWA	Apache
19026	MHS Aviation GmbH	Germany	M2	null	null
19030	Jettor Airlines	Hong Kong	NR	JTO	Jettor
19215	Flyme (VP)	Maldives	null	VQI	null
19225	Thai Lion Air	Thailand	SL	null	null
19244	Golden Myanmar Airlines	Burma	null	GMR	null
19276	Canaryfly	Spain	null	CNF	null
19280	Sunrise Airways	Haiti	null	KSZ	null
19287	National Air Cargo	United States	N8	NCR	null
19290	Eastern Atlantic Virtual Airlines	United States	13	EAV	null
19305	Citilink Indonesia	Indonesia	QG	null	null
19337	Transair	Canada	null	TTZ	null
19350	Comfort Express Virtual Charters Albany	United States	null	EVC	null
19351	Comfort Express Virtual Charters	United States	null	CEO	null
19359	FLYJET	Poland	null	FYJ	null
19361	Snowbird Airlines	Finland	S8	SBD	null
19363	Russkie Krylya	Russia	null	KRY	null
19367	Kharkiv Airlines	Ukraine	KH	KHK	null
19433	XAIR USA	United States	XA	XAU	null
19451	Air Costa	India	LB	null	null
19459	Simrik Airlines	Nepal	null	RMK	null
19473	XPTO	Portugal	XP	XPT	XPTO
19474	Royal Flight	Russia	null	DME	null
19525	BBN-Airways	United Kingdom	null	EGH	BlackBurn
19531	Tomsk-Avia	Russia	null	TKS	null
19541	Malawian Airlines	Malawi	3W	null	null
19548	Yeti Airlines	Nepal	null	NYT	null
19567	Avilu	Switzerland	..	...	Avilu' SA
19582	Air Serbia	Serbia	JU	ASL	null
19599	Skyline Ulasim Ticaret A.S.	Turkey	null	KCU	Skyline Ulasim Ticaret A.S.
19610	Air Lituanica	Lithuania	LT	LTU	Air Lituanica
19619	Envoy Air	United States	null	ENY	null
19651	CARICOM AIRWAYS (BARBADOS) INC.	Barbados	null	CCB	CARICOM AIRWAYS
19674	Rainbow Air (RAI)	United States	RN	RAB	Rainbow Air (RAI)
19675	Rainbow Air Canada	Canada	RY	RAY	Rainbow Air CAN
19676	Rainbow Air Polynesia	United States	RX	RPO	Rainbow Air POL
19677	Rainbow Air Euro	United Kingdom	RU	RUE	Rainbow Air EU
19678	Rainbow Air US	United States	RM	RNY	Rainbow Air US
19745	Transilvania	Romania	null	TNS	null
19751	Dobrolet	Russia	QD	DOB	Добролёт
19774	Spike Airlines	United States	S0	SAL	Aero Spike
19776	Grand Cru Airlines	Lithuania	null	GCA	null
19785	Go2Sky	Slovakia	null	RLX	null
19803	All Argentina	Argentina	L1	AL1	All Argentina
19804	All America	United States	A2	AL2	All America
19805	All Asia	China	L9	AL3	All Asia
19806	All Africa	South Africa	9A	99F	All Africa
19807	Regionalia México	Mexico	N4	J88	Regionalia México
19808	All Europe	United Kingdom	N9	N99	All Europe
19809	All Spain	Spain	N7	N77	All Spain
19810	Regional Air Iceland	Iceland	9N	N78	Regional Air Iceland
19812	Voestar	Brazil	8K	K88	Voestar Brasil
19813	All Colombia	Colombia	7O	7KK	All Colombia
19814	Regionalia Uruguay	Uruguay	2X	2K2	Regionalia Uruguay
19815	Regionalia Venezuela	Venezuela	9X	9XX	Regionalia Venezuela
19827	Regionalia Chile	Chile	9J	CR1	Regionalia Chile
19828	Vuela Cuba	Cuba	6C	6CC	Vuela Cuba
19830	All Australia	Australia	88	8K8	All Australia
19831	Fly Europa	Spain	ER	RWW	null
19834	FlyPortugal	Portugal	PO	FPT	null
19886	Spring Airlines Japan	Japan	IJ	SJO	null
19890	Dense Airways	United States	KP	DWA	null
19891	Dense Connection	United States	KZ	DC2	null
19908	Vuola Italia	Italy	4S	VI4	Vuola Italia
19917	Jet Suite	United States	null	RSP	null
19923	Fly Jamaica Airways	Jamaica	null	FJM	null
19927	Island Express Air	Canada	1X	null	null
19928	All Argentina Express	Argentina	Z0	Z9H	All Argentina Express
19930	Thai Smile Airways	Thailand	WE	null	THAI Smile
19944	International AirLink	Jamaica	I4	null	null
19963	Real Tonga	Tonga	RT	null	null
19970	All America AR	Argentina	2R	M7A	All America Argentina
19971	All America CL	Chile	1R	R1R	All America Chile
19974	SOCHI AIR EXPRESS	Russia	Q4	SAE	ADLER EXPRESS
19977	All America BR	Brazil	1Y	A9B	All America Brasil
20004	Volotea Costa Rica	Costa Rica	9V	VC9	Volotea Costa Rica
20017	Fly Romania	Romania	X5	OTJ	null
20047	Eagle Atlantic Airlines	Ghana	E2	null	null
20051	Fly Africa Zimbabwe	Zimbabwe	null	FZW	Zimbabwe flyafrica.com
20060	San Dima Air	United States	null	SDI	(Cyber Airlines) Not Real
20073	All America CO	Colombia	0Y	7ZC	All America Colombia
20074	All America MX	Mexico	0M	0MM	All America México
20110	FOX Linhas Aereas	Brazil	FX	FOX	null
20127	Air Kenya (Priv)	Kenya	QP	null	null
20144	Via Conectia Airlines	Uruguay	6V	CZV	Via Conectia
20155	Hebradran Air Services	United Kingdom	null	HBR	null
20158	Pobeda	Russia	null	PBD	null
20160	City Airways	Thailand	E8	GTA	null
20170	Norwegian Long Haul AS	Norway	DU	NLH	null
20186	BA101	United Kingdom	null	710	null
20207	TransNusa Air	Indonesia	M8	TNU	null
20218	Tomp Airlines	Chile	ZT	T9P	Tomp Airlines
20220	Fuzhou Airlines	China	null	FZA	null
20221	Sky Angkor Airlines (ZA)	Cambodia	null	SWM	null
20222	OneJet	United States	J1	null	null
20224	Global Airlines	Argentina	0G	GA0	Global Airlines
20225	Mann Yadanarpon Airlines	Burma	null	MYP	null
20264	Air Vistara	India	UK	VTI	Tata SIA Airlines
20268	TransRussiaAirlines	Russia	1E	RGG	TransRus
20270	Severstal Air Company	Russia	D2	null	null
20282	REXAIR VIRTUEL	France	RR	RXR	null
20285	WestJet Encore	Canada	WR	WEN	Encore
20286	Air Pegasus	India	OP	PPL	null
20288	International Europe	Spain	9I	INE	International
20293	Sky Regional Airlines	Canada	null	SKV	null
20401	V Air	Taiwan	ZV	VAX	V Air Taiwan
20415	Cello Aviation	United Kingdom	null	CLJ	null
20478	Pouya Air	Iran	null	PYA	null
20565	Boutique Air (Priv)	United States	4B	BTQ	null
20566	FlyEgypt	Egypt	null	FEG	FlyEgypt
20577	VOLOTEA Airways	Spain	V7	VOE	null
20599	INAVIA Internacional	Argentina	Z5	IIR	Internacional
20607	Liberty Airways	United States	LE	LTY	null
20608	Аэросервис	Russia	АЯ	null	null
20653	Aeronautica Militare	Italy	null	IAM	null
20657	Bassaka airlines	Cambodia	5B	BSX	null
20675	Jetstar Japan	Japan	null	JJP	null
20686	SkyBahamas Airlines	Bahamas	Q7	null	null
20695	UVT Aero	Russia	UW	null	null
20698	First Flying	Japan	null	DAK	null
20710	Silver Airways (3M)	United States	3M	null	null
20716	AtlasGlobal Ukraine	Ukraine	null	UJX	null
20725	Boliviana de Aviacion (OB)	Bolivia	null	BOV	BoA
20726	US-Bangla Airlines	Bangladesh	null	UBG	null
20729	Norwegian Air International (D8)	Norway	null	IBK	null
20752	ATA Airlines (Iran)	Iran	I3	null	هواپیمایی آتا
20769	VIA Líneas Aéreas	Argentina	V1	VIA	VIA
20802	GermanXL	Germany	GX	GXG	null
20808	Alghanim	United States	null	KYA	null
20824	Indonesa Air Aisa X	Indonesia	null	IDX	null
20827	Fly France	France	FF	FRF	Fly France
20875	Jota Aviation	United Kingdom	null	ENZ	null
20881	Europe Jet	France	EX	EU9	Europe Jet
20923	COBALT	Cyprus	null	FCB	COBALT
20931	Southern Airways Express	United States	null	LTD	Sun Air Express
20962	Orenburzhie	Russia	null	ORG	null
20976	World Scale Airlines	United States	W3	WSS	World Scale
20978	All America US	United States	AG	SSA	All America US
20986	University of Birmingham Air Squadron (RAF)	United Kingdom	null	UAY	8AEF RAF
20991	Choice Airways	United States	null	CSX	null
20994	Aruba Airlines	Aruba	null	ARU	null
20995	BudgetAir	Germany	1K	BG1	BudgetAir
20996	Dynamic Airways	United States	null	DYA	null
21012	Fly One	Moldova	F5	FI5	Fly One
21021	Nordica	Estonia	EE	null	null
21036	Tez Jet Airlines	Kyrgyzstan	null	TEZ	null
21043	Kush Air	South Sudan	null	KUH	null
21124	ViaAir	United States	null	SRY	Charter Air Transport
21131	All America BOPY	Paraguay	0P	PYB	All America BOPY
21179	Thai Vietjet Air	Thailand	null	TVJ	null
21248	GX Airlines	China	null	CBG	null
21268	Jetgo Australia	Australia	JG	null	null
21270	Air Carnival	India	2S	null	null
21317	Svyaz Rossiya	Russia	7R	SJM	Russian Commuter
