"user_id","movie_id","rate"
"0","24395","3"
"0","23730","1"
"0","23245","2.5"
"0","23079","2"
"0","22982","2"
"0","22940","3"
"0","22887","4"
"0","22720","4"
"0","22223","1"
"0","22182","2.5"
"0","22153","2"
"0","22149","3.5"
"0","22108","2"
"0","22101","2"
"0","22072","2"
"0","21974","4"
"0","21938","2"
"0","21877","3"
"0","21848","3"
"0","20832","2.5"
"1","21546","4"
"1","21494","4"
"1","21463","3"
"1","21439","3"
"1","21438","5"
"1","21436","5"
"1","21435","5"
"1","21434","3"
"1","21433","3"
"1","21432","3"
"1","21431","5"
"1","21405","3"
"1","21404","5"
"1","21403","3"
"1","21389","3"
"1","21386","4"
"1","21372","4"
"1","21359","4"
"1","21353","4"
"1","21352","4"
"1","21344","4"
"1","21338","3"
"1","21323","3"
"1","21316","4"
"1","21311","2"
"1","21305","4"
"1","20805","4"
"1","20813","5"
"1","20839","5"
"1","20848","4"
"1","20852","4"
"1","20853","3"
"1","20863","3"
"1","20918","4"
"1","20958","3"
"1","20968","5"
"1","20971","4"
"1","20980","3"
"1","20985","3"
"1","20988","3"
"1","21008","3"
"1","21009","3"
"1","21030","3"
"1","21041","5"
"1","21042","1"
"1","21044","3"
"1","21055","3"
"1","21074","3"
"1","21081","4"
"1","21090","4"
"1","21094","5"
"1","21095","5"
"1","21102","3"
"1","21103","4"
"1","21123","3"
"1","21127","4"
"1","21129","3"
"1","21145","4"
"1","21148","2"
"1","21151","1"
"1","21171","3"
"1","21181","4"
"1","21182","4"
"1","21188","3"
"1","21190","3"
"1","21196","3"
"1","21199","3"
"1","21202","2"
"1","21204","3"
"1","21205","3"
"1","21212","3"
"1","21220","3"
"1","21239","2"
"1","21243","3"
"1","21288","4"
"1","21291","3"
"2","23101","4"
"2","20861","3"
"2","20918","4"
"2","21073","3.5"
"2","21096","3"
"2","21127","4.5"
"2","21150","5"
"2","21187","2.5"
"2","21188","5"
"2","21212","2.5"
"2","21372","3"
"2","21434","3"
"2","21438","3"
"2","21439","3"
"2","21441","2"
"2","21561","3.5"
"2","21593","4"
"2","21674","3"
"2","22000","5"
"2","22014","3"
"2","22041","4"
"2","22082","3"
"2","22191","4"
"2","22381","3.5"
"2","22515","4.5"
"2","22644","4"
"2","22805","4"
"2","23102","4"
"2","23302","3"
"2","23465","3"
"2","23474","3.5"
"2","23486","3"
"2","23533","3.5"
"2","23614","4"
"2","23631","4"
"2","23724","5"
"2","23988","3"
"2","24244","4"
"2","24676","5"
