"director_id","movie_id"
"671","27420"
"672","28233"
"672","27960"
"672","25938"
"672","24711"
"672","22566"
"672","21077"
"673","26791"
"673","25991"
"673","25019"
"673","24198"
"673","23218"
"673","21215"
"674","21951"
"675","25215"
"676","29113"
"676","27343"
"677","26240"
"678","22839"
"679","29354"
"680","25943"
"680","25386"
"680","23659"
"681","25685"
"681","22040"
"681","21789"
"681","21781"
"681","21725"
"682","22761"
"683","29242"
"684","24799"
"685","28568"
"685","27579"
"685","27577"
"685","23777"
"685","21040"
"686","27183"
"686","22914"
"686","22356"
"687","28047"
"687","26309"
"688","26092"
"689","25035"
"690","28357"
"691","23352"
"692","27803"
"692","25543"
"692","25531"
"692","24674"
"692","24514"
"692","23566"
"693","26583"
"693","23457"
"693","21402"
"694","27057"
"694","21630"
"695","25451"
"695","23129"
"695","22138"
"695","22089"
"696","26371"
"697","25379"
"698","21641"
"699","28656"
"700","22539"
"701","25395"
"702","26597"
"703","27071"
"703","25638"
"703","20817"
"704","22511"
"705","29798"
"705","27174"
"705","23037"
"705","22374"
"705","21174"
"706","26788"
"706","25690"
"706","21686"
"707","29316"
"708","28452"
"709","27013"
"710","27140"
"711","26069"
"712","24697"
"712","22636"
"712","22422"
"713","28727"
"713","22752"
"714","26213"
"714","23202"
"715","29214"
"716","29497"
"716","29386"
"716","23885"
"717","28279"
"718","29417"
"718","28716"
"718","26136"
"718","23442"
"719","21690"
"720","23136"
"721","27485"
"722","29853"
"722","28162"
"723","27467"
"723","24335"
"724","29894"
"725","26710"
"726","27644"
"727","28148"
"727","25256"
"727","24290"
"727","22006"
"728","29675"
"729","27165"
"729","24565"
"729","22162"
"729","21213"
"730","21067"
"731","28833"
"731","28003"
"731","27875"
"731","27374"
"731","26789"
"731","26666"
"731","26564"
"731","26497"
"731","26454"
"731","26278"
"731","25614"
"731","25249"
"731","25204"
"731","25061"
"731","24523"
"731","24464"
"731","24463"
"731","24237"
"731","24096"
"731","23826"
"731","23520"
"731","23272"
"731","22222"
"731","22007"
"731","21300"
"732","28279"
"733","22440"
"734","26424"
"735","29378"
"735","28396"
"735","27822"
"735","26009"
"735","25568"
"735","25246"
"735","25194"
"735","21950"
"735","21498"
"736","23503"
"736","23502"
"736","23501"
"736","23500"
"736","23499"
"736","23482"
"736","22067"
"736","22028"
"736","22009"
"736","21981"
"736","21735"
"736","21571"
"737","23968"
"738","23017"
"739","27636"
"740","29273"
"740","22514"
"741","29548"
"741","26925"
"741","26360"
"742","24473"
"743","26120"
"744","29242"
"745","23547"
"746","28905"
"746","27365"
"746","22803"
"747","25845"
"748","29810"
"749","26750"
"750","29577"
"750","27847"
"750","27372"
"751","23618"
"751","23090"
"752","21118"
"753","28708"
"754","29318"
"754","28418"
"754","26847"
"754","25445"
"755","29710"
"755","25846"
"756","28393"
"757","29771"
"758","24164"
"759","28977"
"759","28693"
"759","28038"
"759","27924"
"759","26856"
"759","26037"
"759","23171"
"760","27691"
"761","26878"
"762","28467"
"763","23791"
"764","23782"
"765","25980"
"766","26241"
"766","23693"
"767","28879"
"767","28402"
"767","26994"
"767","25960"
"767","23915"
"767","21196"
"768","29670"
"768","26344"
"768","25904"
"768","25838"
"768","25561"
"768","23771"
"769","24610"
"769","23185"
"769","22203"
"769","22100"
"770","29804"
"771","28012"
"771","27637"
"771","27583"
"771","27568"
"771","27567"
"771","25098"
"771","25087"
"771","24912"
"771","23559"
"771","23557"
"771","23555"
"771","23553"
"771","23517"
"772","25682"
"773","27591"
"774","27442"
"774","21072"
"775","24907"
"776","24073"
"777","22145"
"778","22561"
"779","29624"
"779","29535"
"779","28551"
"779","27977"
"780","21453"
"781","21607"
"782","23343"
"783","23607"
"784","26699"
"785","28827"
"785","27856"
"785","26473"
"785","26250"
"785","23759"
"786","28609"
"787","29439"
"787","27134"
"788","26196"
"789","20930"
"790","26674"
"790","23177"
"791","21548"
"792","28796"
"793","28184"
"794","27479"
"794","27153"
"794","27088"
"794","21987"
"794","21312"
"795","26433"
"796","25624"
"797","28784"
"797","27049"
"797","23824"
"798","28495"
"798","28401"
"798","28172"
"799","27349"
"799","26169"
"799","22515"
"799","22046"
"799","22004"
"799","21934"
